Price,Year,Kilometer,Engine,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Fuel Type,Transmission,Owner,Seller Type,Drivetrain,PriceRange
2340.0,2009.0,102000.0,1061.0,3520.0,1475.0,1660.0,5.0,35.0,Otro,Manual,First,Individual,FWD,0
17400.0,2018.0,90000.0,1956.0,4395.0,1818.0,1640.0,5.0,60.0,Diesel,Manual,First,Individual,AWD,2
27000.0,2015.0,43200.0,1991.0,4424.0,1804.0,1494.0,5.0,50.0,Petrol,Automatic,First,Corporate,FWD,2
102000.0,2019.0,13000.0,2987.0,5130.0,1934.0,1850.0,7.0,100.0,Diesel,Automatic,First,Individual,AWD,2
3180.0,2017.0,52100.0,796.0,3395.0,1490.0,1475.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,0
6588.0,2014.0,42000.0,1498.0,4386.0,1699.0,1466.0,5.0,55.0,Diesel,Automatic,First,Individual,FWD,1
5340.0,2015.0,67580.0,998.0,3599.0,1495.0,1700.0,5.0,35.0,Otro,Manual,First,Individual,FWD,0
12600.0,2017.0,97000.0,1582.0,4270.0,1780.0,1630.0,5.0,60.0,Diesel,Automatic,First,Corporate,FWD,0
35880.0,2020.0,17904.0,1968.0,4486.0,1839.0,1672.0,5.0,71.0,Diesel,Automatic,First,Individual,AWD,0
27300.0,2016.0,61109.0,2143.0,4424.0,1804.0,1494.0,5.0,50.0,Diesel,Automatic,Second,Individual,FWD,2
3540.0,2010.0,33000.0,1298.0,4160.0,1690.0,1530.0,5.0,43.0,Petrol,Manual,First,Individual,FWD,0
6119.988,2015.0,42000.0,998.0,3600.0,1600.0,1560.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,0
8052.0,2013.0,47000.0,2179.0,4430.0,1817.0,1975.0,8.0,60.0,Diesel,Manual,First,Individual,RWD,1
4919.988,2019.0,32000.0,1086.0,3610.0,1645.0,1560.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,0
23400.0,2016.0,79000.0,2400.0,4644.0,1891.0,1713.0,5.0,70.0,Diesel,Automatic,First,Individual,AWD,2
4980.0,2014.0,57402.0,1197.0,3995.0,1695.0,1555.0,5.0,42.0,Petrol,Manual,First,Individual,FWD,0
49800.0,2022.0,22000.0,1984.0,4762.0,1847.0,1433.0,5.0,54.0,Petrol,Automatic,First,Individual,FWD,2
6540.0,2015.0,42000.0,1199.0,3955.0,1694.0,1544.0,5.0,40.0,Petrol,Automatic,First,Individual,FWD,0
2880.0,2010.0,78000.0,1217.2,3859.8,1630.8,1528.2,5.0,42.2,Petrol,Manual,Second,Individual,FWD,0
11939.988,2012.0,89311.0,1984.0,4635.0,1865.0,1484.0,5.0,67.5,Diesel,Automatic,First,Individual,FWD,2
25800.0,2012.0,95000.0,2179.0,4355.0,2120.0,1635.0,5.0,57.0,Diesel,Automatic,First,Individual,AWD,4
109200.0,2022.0,9000.0,1984.0,4696.0,1923.0,1624.0,5.0,65.0,Petrol,Automatic,First,Individual,AWD,1
32400.0,2021.0,17000.0,1368.0,4405.0,1818.0,1640.0,5.0,60.0,Petrol,Automatic,First,Individual,FWD,2
22379.988,2020.0,30000.0,2184.0,3985.0,1820.0,1855.0,4.0,57.0,Diesel,Automatic,First,Individual,AWD,1
43800.0,2012.0,25500.0,4163.0,4649.0,1860.0,1366.0,5.0,64.0,Petrol,Automatic,Second,Corporate,AWD,2
3059.9880000000003,2016.0,57159.0,799.0,3679.0,1579.0,1478.0,5.0,28.0,Petrol,Manual,First,Individual,FWD,0
21492.0,2017.0,96095.0,2999.0,4825.0,1860.0,1840.0,7.0,65.0,Diesel,Automatic,First,Individual,RWD,2
3000.0,2012.0,68000.0,998.0,3539.0,1495.0,1700.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,0
17880.0,2012.0,40000.0,1968.0,4629.0,1898.0,1653.0,5.0,75.0,Diesel,Automatic,First,Individual,AWD,2
15300.0,2021.0,30000.0,1493.0,4315.0,1800.0,1645.0,5.0,50.0,Diesel,Automatic,First,Individual,FWD,1
16680.0,2019.0,29096.0,1591.0,4270.0,1780.0,1665.0,5.0,55.0,Petrol,Automatic,First,Individual,FWD,0
5400.0,2015.0,52000.0,1197.0,3995.0,1695.0,1555.0,5.0,42.0,Petrol,Manual,First,Individual,FWD,0
25200.0,2018.0,42000.0,1984.0,4370.0,1783.0,1458.0,5.0,60.0,Diesel,Automatic,First,Individual,FWD,2
102000.0,2018.0,25275.0,2996.0,4891.0,2003.0,1719.0,5.0,93.0,Petrol,Automatic,First,Individual,AWD,2
5160.0,2014.0,59000.0,1197.0,3995.0,1695.0,1555.0,5.0,42.0,Petrol,Manual,First,Individual,FWD,0
40200.0,2014.0,49235.0,2323.2,4665.6,1902.6,1622.2,5.8,65.2,Diesel,Automatic,First,Individual,FWD,4
31200.0,2017.0,41000.0,1995.0,4439.0,1821.0,1612.0,5.0,51.0,Diesel,Automatic,First,Individual,FWD,3
8400.0,2019.0,11000.0,1197.0,3840.0,1735.0,1530.0,5.0,37.0,Petrol,Manual,Second,Individual,FWD,0
13500.0,2019.0,40000.0,1582.0,4375.0,1700.0,1475.0,5.0,43.0,Diesel,Manual,First,Individual,FWD,0
3900.0,2010.0,56000.0,1497.0,4420.0,1695.0,1480.0,5.0,42.0,Petrol,Automatic,First,Individual,FWD,0
33600.0,2011.0,70662.0,2364.0,4823.4,1869.4,1658.8,6.2,68.0,Petrol,Automatic,Second,Individual,FWD,4
15900.0,2021.0,20000.0,998.0,3995.0,1790.0,1647.0,5.0,45.0,Petrol,Manual,First,Individual,FWD,1
5100.0,2018.0,18000.0,998.0,3599.0,1495.0,1700.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,0
8388.0,2017.0,67000.0,1591.0,4370.0,1700.0,1475.0,5.0,43.0,Petrol,Manual,First,Individual,FWD,0
4380.0,2019.0,32000.0,999.0,3679.0,1579.0,1478.0,5.0,28.0,Petrol,Manual,First,Individual,FWD,0
10139.988,2014.0,80121.0,1314.8,4040.0,1761.0,1585.0,5.0,44.8,Petrol,Automatic,Second,Individual,FWD,0
15000.0,2012.0,50000.0,1903.8,4399.6,1809.2,1582.2,5.0,58.4,Diesel,Automatic,First,Individual,FWD,2
47400.0,2019.0,33000.0,1950.0,4686.0,1810.0,1442.0,5.0,66.0,Diesel,Automatic,First,Individual,RWD,2
11400.0,2011.0,65000.0,1991.0,4879.0,1854.0,1474.0,5.0,80.0,Petrol,Automatic,Second,Individual,RWD,2
8280.0,2016.0,65000.0,1461.0,4315.0,1822.0,1695.0,5.0,50.0,Diesel,Manual,Second,Individual,FWD,0
4740.0,2014.0,44527.0,1198.0,3990.0,1680.0,1505.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,0
1680.0,2009.0,65000.0,796.0,3495.0,1475.0,1460.0,5.0,35.0,Petrol,Manual,Third,Individual,FWD,0
2340.0,2010.0,32000.0,1198.0,3900.0,1695.0,1535.0,5.0,42.0,Petrol,Manual,First,Individual,FWD,0
9480.0,2019.0,25000.0,1197.0,3995.0,1745.0,1510.0,5.0,37.0,Petrol,Automatic,First,Individual,FWD,1
150000.0,2022.0,22010.0,1997.0,4879.0,2073.0,1803.0,5.0,104.0,Petrol,Automatic,First,Individual,AWD,4
37200.0,2021.0,29000.0,2393.0,4735.0,1830.0,1795.0,7.0,55.0,Diesel,Manual,First,Individual,RWD,1
33000.0,2022.0,31000.0,2184.0,4695.0,1890.0,1755.0,7.0,60.0,Diesel,Automatic,First,Individual,AWD,1
7800.0,2019.0,42000.0,1198.0,3990.0,1680.0,1505.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,0
11100.0,2017.0,28000.0,1497.0,3994.0,1811.0,1607.0,5.0,44.0,Diesel,Manual,First,Individual,FWD,0
11700.0,2013.0,102000.0,2143.0,4596.0,1770.0,1447.0,5.0,66.0,Diesel,Automatic,First,Individual,RWD,2
6600.0,2015.0,58078.0,1197.0,3765.0,1660.0,1520.0,5.0,43.0,Petrol,Manual,Second,Individual,FWD,0
5340.0,2012.0,54948.0,1248.0,3715.0,1680.0,1620.0,5.0,43.0,Diesel,Manual,First,Individual,FWD,0
38400.0,2014.0,133273.0,2993.0,5219.0,1902.0,1481.0,4.0,82.4,Diesel,Automatic,First,Individual,RWD,3
37200.0,2019.0,17000.0,2143.0,4630.0,1777.0,1432.0,5.0,56.0,Diesel,Automatic,First,Individual,FWD,2
5819.988,2018.0,44000.0,998.0,3715.0,1635.0,1565.0,5.0,35.0,Petrol,Automatic,First,Individual,FWD,0
10200.0,2018.0,52890.0,1497.0,4440.0,1695.0,1495.0,5.0,40.0,Petrol,Manual,First,Individual,FWD,0
6480.0,2015.0,59000.0,1396.0,3995.0,1760.0,1555.0,5.0,45.0,Diesel,Manual,First,Individual,FWD,0
3840.0,2016.0,64000.0,799.0,3679.0,1579.0,1478.0,5.0,28.0,Petrol,Manual,First,Individual,FWD,0
6732.0,2015.0,61000.0,1396.0,3985.0,1734.0,1505.0,5.0,45.0,Diesel,Manual,First,Individual,FWD,0
3900.0,2011.0,101347.0,1496.0,4265.0,1695.0,1510.0,5.0,45.0,Petrol,Manual,Third,Individual,FWD,1
3540.0,2010.0,78000.0,1497.0,4420.0,1695.0,1480.0,5.0,42.0,Petrol,Manual,First,Corporate,FWD,0
10200.0,2016.0,72000.0,1582.0,4270.0,1780.0,1630.0,5.0,60.0,Diesel,Manual,First,Individual,FWD,0
5819.988,2017.0,86006.0,1364.0,3884.0,1695.0,1510.0,5.0,45.0,Diesel,Manual,First,Individual,FWD,1
5700.0,2014.0,72900.0,1591.0,4370.0,1700.0,1475.0,5.0,43.0,Petrol,Automatic,Second,Individual,FWD,0
4680.0,2015.0,43297.0,998.0,3599.0,1495.0,1700.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,0
10680.0,2020.0,23500.0,1498.0,4360.0,1822.0,1695.0,5.0,50.0,Petrol,Manual,First,Individual,FWD,0
7632.0,2021.0,35500.0,1197.0,3995.0,1745.0,1500.0,5.0,37.0,Petrol,Manual,First,Individual,FWD,0
29820.0,2012.0,44724.0,3496.0,5157.0,2183.0,1659.0,7.0,80.0,Petrol,Automatic,First,Individual,AWD,2
5940.0,2015.0,52000.0,1199.0,3955.0,1694.0,1544.0,5.0,40.0,Petrol,Manual,First,Individual,FWD,0
31200.0,2012.0,42000.0,2967.0,4969.0,2139.0,1420.0,5.0,65.0,Diesel,Automatic,First,Individual,AWD,2
25200.0,2014.0,103000.0,1995.0,4624.0,2031.0,1429.0,5.0,77.6,Diesel,Automatic,Second,Individual,RWD,3
40680.0,2015.0,91100.0,2987.0,5120.0,1934.0,1850.0,7.0,100.0,Diesel,Automatic,First,Individual,AWD,2
31800.0,2018.0,50000.0,1995.0,4454.0,2044.0,1545.0,5.0,63.0,Diesel,Automatic,Second,Individual,RWD,3
2700.0,2014.0,47721.0,1086.0,3585.0,1595.0,1550.0,5.0,35.0,Otro,Manual,First,Individual,FWD,0
5819.988,2018.0,62000.0,1197.0,3995.0,1745.0,1500.0,5.0,37.0,Petrol,Manual,Second,Individual,FWD,0
6300.0,2019.0,32000.0,1199.0,3793.0,1665.0,1587.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,0
31800.0,2018.0,43000.0,2143.0,4424.0,1804.0,1494.0,5.0,50.0,Diesel,Automatic,Second,Individual,FWD,2
12888.0,2017.0,50050.0,1591.0,4270.0,1780.0,1630.0,5.0,60.0,Petrol,Automatic,First,Individual,FWD,0
40800.0,2018.0,51000.0,1968.0,4933.0,1874.0,1455.0,5.0,75.0,Diesel,Automatic,First,Individual,FWD,2
13140.0,2022.0,2700.0,1497.0,4440.0,1695.0,1495.0,5.0,40.0,Petrol,Manual,First,Individual,FWD,0
4092.0,2016.0,49000.0,1198.0,3610.0,1680.0,1500.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,0
21360.0,2020.0,65433.0,1956.0,4655.0,1835.0,1760.0,5.0,60.0,Diesel,Manual,First,Individual,FWD,2
129600.0,2021.0,20000.0,2998.0,4935.0,2004.0,1696.0,5.0,83.0,Petrol,Automatic,First,Individual,AWD,3
11100.0,2018.0,925000.0,1582.0,4375.0,1700.0,1475.0,5.0,43.0,Diesel,Manual,First,Individual,FWD,0
3000.0,2018.0,25000.0,999.0,3429.0,1560.0,1541.0,5.0,28.0,Petrol,Manual,Second,Individual,FWD,0
62400.0,2019.0,10000.0,1950.0,4658.0,1890.0,1644.0,5.0,66.0,Diesel,Automatic,First,Individual,AWD,2
5580.0,2014.0,29442.0,1198.0,3990.0,1680.0,1505.0,5.0,35.0,Petrol,Automatic,First,Individual,FWD,0
11400.0,2021.0,24000.0,999.0,3971.0,1682.0,1469.0,5.0,45.0,Petrol,Manual,First,Individual,FWD,0
3180.0,2011.0,28000.0,1197.0,3778.0,1622.0,1574.0,5.0,39.4,Petrol,Manual,First,Individual,FWD,0
8388.0,2017.0,75000.0,1498.0,3999.0,1765.0,1708.0,5.0,52.0,Diesel,Manual,First,Individual,FWD,0
15240.0,2019.0,61805.0,2179.0,4456.0,1820.0,1995.0,7.0,60.0,Diesel,Manual,First,Individual,RWD,1
4944.0,2016.0,41058.0,998.0,3600.0,1600.0,1560.0,5.0,35.0,Petrol,Automatic,First,Individual,FWD,0
5700.0,2016.0,16630.0,1197.0,3765.0,1660.0,1520.0,5.0,43.0,Petrol,Manual,First,Individual,FWD,0
7320.0,2017.0,105000.0,1248.0,3850.0,1695.0,1530.0,5.0,42.0,Diesel,Manual,First,Corporate,FWD,0
19800.0,2013.0,58000.0,2143.0,4596.0,1770.0,1447.0,5.0,66.0,Diesel,Automatic,First,Individual,RWD,2
78000.0,2020.0,21000.0,1991.0,4686.0,1810.0,1409.0,4.0,59.0,Petrol,Automatic,Second,Individual,RWD,2
8940.0,2017.0,82000.0,1498.0,3999.0,1765.0,1708.0,5.0,52.0,Diesel,Manual,First,Individual,FWD,0
4140.0,2011.0,101923.0,1624.2,4340.0,1807.0,1693.0,5.8,54.4,Petrol,Manual,Second,Individual,FWD,0
10200.0,2018.0,85000.0,1248.0,3995.0,1790.0,1640.0,5.0,48.0,Diesel,Manual,First,Individual,FWD,0
20400.0,2021.0,3813.0,1997.0,3985.0,1820.0,1855.0,4.0,57.0,Petrol,Manual,First,Individual,AWD,1
50100.0,2016.0,27011.0,2993.0,4886.0,1938.0,1762.0,7.0,67.4,Diesel,Automatic,Second,Individual,AWD,3
3900.0,2013.0,51000.0,1461.0,4425.0,1695.0,1505.0,5.0,41.0,Diesel,Manual,First,Individual,FWD,0
26400.0,2021.0,32000.0,2179.0,4655.0,1965.0,1922.0,7.0,63.0,Diesel,Manual,First,Individual,RWD,0
32280.0,2019.0,15500.0,1995.0,4633.0,1811.0,1429.0,5.0,57.0,Diesel,Automatic,First,Individual,RWD,3
42600.0,2015.0,59000.0,2993.0,4886.0,1938.0,1762.0,7.0,75.2,Diesel,Automatic,First,Individual,AWD,3
2748.0,2013.0,38175.0,1090.4,3612.8,1564.0,1572.0,5.0,37.0,Petrol,Manual,First,Individual,FWD,0
10692.0,2016.0,47000.0,1591.0,4270.0,1780.0,1630.0,5.0,60.0,Petrol,Manual,First,Individual,FWD,0
8940.0,2021.0,14722.0,1197.0,3845.0,1735.0,1530.0,5.0,37.0,Petrol,Manual,First,Individual,FWD,0
5100.0,2020.0,7520.0,999.0,3429.0,1560.0,1541.0,5.0,28.0,Petrol,Manual,First,Individual,FWD,0
6612.0,2015.0,47752.0,1197.0,3985.0,1734.0,1505.0,5.0,45.0,Petrol,Manual,First,Individual,FWD,0
28140.0,2017.0,47000.0,2494.0,4825.0,1825.0,1480.0,5.0,70.0,Petrol,Automatic,First,Individual,FWD,1
22932.0,2022.0,1300.0,1353.0,4300.0,1790.0,1635.0,5.0,50.0,Petrol,Automatic,First,Individual,FWD,0
5100.0,2014.0,58600.0,1198.0,3990.0,1680.0,1505.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,0
9600.0,2012.0,75576.0,1563.2,4284.0,1758.8,1622.2,5.8,47.4,Diesel,Automatic,Second,Individual,FWD,3
6612.0,2019.0,39000.0,1120.0,3995.0,1660.0,1520.0,5.0,43.0,Diesel,Manual,First,Individual,FWD,0
14400.0,2015.0,50965.0,1984.0,4370.0,1783.0,1458.0,5.0,60.0,Diesel,Automatic,First,Corporate,FWD,2
16200.0,2017.0,70000.0,1368.0,4395.0,1818.0,1640.0,5.0,60.0,Petrol,Automatic,First,Individual,FWD,2
10800.0,2016.0,70000.0,2696.0,4755.0,1900.0,1785.0,7.0,78.0,Diesel,Manual,Second,Individual,AWD,0
13188.0,2018.0,20690.0,1598.0,4413.0,1699.0,1466.0,5.0,55.0,Petrol,Automatic,First,Individual,FWD,1
4560.0,2013.0,57000.0,1197.0,3585.0,1595.0,1550.0,5.0,35.0,Petrol,Automatic,First,Individual,FWD,0
18900.0,2020.0,63000.0,1493.0,4315.0,1800.0,1645.0,5.0,50.0,Diesel,Automatic,First,Individual,FWD,1
3600.0,2014.0,40000.0,1197.0,3995.0,1710.0,1505.0,5.0,45.0,Petrol,Manual,First,Individual,FWD,0
22800.0,2020.0,41736.0,1956.0,4395.0,1818.0,1640.0,5.0,60.0,Diesel,Automatic,First,Individual,AWD,2
29400.0,2015.0,103000.0,2143.0,4804.0,2141.0,1796.0,5.0,70.0,Diesel,Automatic,First,Individual,AWD,2
3180.0,2011.0,41000.0,998.0,3539.0,1475.0,1700.0,5.0,35.0,Petrol,Manual,Second,Individual,FWD,0
58800.0,2018.0,78000.0,2967.0,5052.0,1968.0,1740.0,7.0,75.0,Diesel,Automatic,First,Individual,AWD,2
64500.0,2014.0,80000.0,2993.0,4879.0,2073.0,1780.0,5.0,77.0,Diesel,Automatic,Second,Individual,AWD,4
7020.0,2018.0,31000.0,1373.0,4490.0,1730.0,1485.0,5.0,43.0,Petrol,Manual,First,Individual,FWD,0
44100.0,2020.0,37180.0,1995.0,4454.0,2044.0,1545.0,5.0,63.0,Diesel,Automatic,First,Individual,RWD,3
49800.0,2019.0,8000.0,1950.0,4686.0,1810.0,1442.0,5.0,66.0,Diesel,Automatic,First,Individual,RWD,2
23400.0,2014.0,82000.0,1995.0,4648.0,1881.0,1661.0,5.0,67.0,Diesel,Automatic,Second,Individual,AWD,3
17580.0,2019.0,22000.0,1999.0,4570.0,1800.0,1465.0,5.0,50.0,Petrol,Automatic,Second,Individual,FWD,0
9839.988,2015.0,94580.0,1798.0,4659.0,1814.0,1476.0,5.0,50.0,Petrol,Automatic,First,Individual,FWD,1
12756.0,2019.0,31056.0,1598.0,4300.0,1765.0,1590.0,5.0,48.0,Diesel,Manual,First,Individual,FWD,0
108000.0,2017.0,7000.0,1988.0,4379.0,1801.0,1295.0,2.0,54.0,Petrol,Automatic,First,Individual,RWD,1
14880.0,2017.0,57000.0,1956.0,4395.0,1818.0,1640.0,5.0,60.0,Diesel,Manual,First,Individual,FWD,2
4788.0,2013.0,54000.0,1498.0,3999.0,1765.0,1708.0,5.0,52.0,Diesel,Manual,Third,Individual,FWD,0
36900.0,2017.0,17000.0,1968.0,4933.0,1874.0,1455.0,5.0,75.0,Diesel,Automatic,First,Individual,FWD,2
21300.0,2014.0,75000.0,1968.0,4915.0,1874.0,1455.0,5.0,65.0,Diesel,Automatic,First,Individual,FWD,2
23579.988,2020.0,26000.0,2694.0,4735.0,1830.0,1795.0,7.0,65.0,Petrol,Manual,First,Individual,RWD,1
18600.0,2022.0,12000.0,2179.0,4456.0,1820.0,1995.0,7.0,60.0,Diesel,Manual,First,Individual,RWD,1
6119.988,2019.0,48000.0,998.0,3695.0,1600.0,1560.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,0
8100.0,2021.0,15000.0,998.0,3655.0,1620.0,1675.0,5.0,60.0,Otro,Manual,First,Individual,FWD,0
10188.0,2021.0,17283.0,1462.0,3995.0,1790.0,1640.0,5.0,48.0,Petrol,Manual,First,Individual,FWD,0
106800.0,2021.0,9000.0,1950.0,4924.0,2157.0,1772.0,5.0,93.0,Diesel,Automatic,First,Individual,AWD,2
13140.0,2020.0,43260.0,1197.0,3971.0,1682.0,1469.0,5.0,45.0,Petrol,Automatic,First,Individual,FWD,0
11339.988,2019.0,88000.0,1493.0,3995.0,1795.0,1817.0,7.0,60.0,Diesel,Manual,First,Individual,RWD,1
11700.0,2011.0,61000.0,1995.0,4899.0,2094.0,1464.0,5.0,55.4,Diesel,Automatic,Third,Individual,RWD,3
46800.0,2020.0,13000.0,1998.0,3850.0,1727.0,1414.0,4.0,44.0,Petrol,Automatic,First,Individual,FWD,4
8388.0,2018.0,43000.0,1248.0,3840.0,1735.0,1530.0,5.0,37.0,Diesel,Automatic,First,Individual,FWD,0
31200.0,2015.0,46000.0,2967.0,5089.0,1983.0,1737.0,7.0,100.0,Diesel,Automatic,First,Individual,AWD,2
15600.0,2012.0,64800.0,1796.0,4596.0,1770.0,1447.0,5.0,66.0,Petrol,Automatic,First,Individual,RWD,2
4500.0,2013.0,97000.0,2179.0,4655.0,1965.0,1922.0,7.0,55.0,Diesel,Manual,First,Individual,RWD,0
61200.0,2019.0,24444.0,1999.0,4600.0,2069.0,1724.0,7.0,65.0,Petrol,Automatic,Second,Individual,AWD,4
4320.0,2013.0,95610.0,1336.0,3995.0,1710.0,1505.0,5.0,45.0,Diesel,Manual,Second,Individual,FWD,0
